#LINK,http://linkdata.org/upload,,,,,,
#file_name,koutsujiko,,,,,,
#lang,ja,,,,,,
#attribution_name,越前市情報統計課,,,,,,
#attribution_url,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,,,,,,
#property,年,事故件数（件）,事故件数うち高速道路（件）,死者数（人）,死者数うち高速道路（人）,傷者数（人）,傷者数うち高速道路（人）
#object_type_xsd,string:ja,string:ja,string:ja,string:ja,string:ja,string:ja,string:ja
#property_context,assertion,assertion,assertion,assertion,assertion,assertion,assertion
1,平成元年,443,3,14,-,568,5
2,平成2年,376,16,14,1,467,25
3,平成3年,349,17,10,4,444,27
4,平成4年,373,12,8,1,463,13
5,平成5年,437,6,7,-,538,9
6,平成6年,392,6,15,-,477,5
7,平成7年,413,8,11,-,506,11
8,平成8年,340,8,10,-,419,17
9,平成9年,346,3,7,-,441,3
10,平成10年,395,5,10,-,489,7
11,平成11年,399,12,8,-,521,31
12,平成12年,491,8,9,-,607,13
13,平成13年,501,8,1,-,601,11
14,平成14年,407,4,8,-,510,5
15,平成15年,404,4,6,-,503,5
16,平成16年,510,7,7,2,598,7
17,平成17年,477,4,4,1,579,6
18,平成18年,448,6,6,-,557,14
19,平成19年,439,6,5,-,540,7
20,平成20年,373,7,2,1,475,7
21,平成21年,338,5,2,-,436,8
22,平成22年,344,4,3,-,420,9
23,平成23年,275,4,3,-,345,6
24,平成24年,270,-,4,-,323,-
25,平成25年,238,3,3,0,279,4
26,平成26年,222,4,4,0,263,13
27,平成27年,201,,3,,224,
28,平成28年,130,,5,,151,
