#LINK,http://linkdata.org/upload,,,,,
#file_name,160710touhyoujyo,,,,,
#lang,ja,,,,,
#attribution_name,越前市情報統計課,,,,,
#attribution_url,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,,,,,
#property,投票区名,投票施設名,所在地,http://www.w3.org/2003/01/geo/wgs84_pos#lat,http://www.w3.org/2003/01/geo/wgs84_pos#long,地区
#object_type_xsd,string:ja,string:ja,string:ja,float,float,string:ja
#property_context,assertion,assertion,assertion,	Assertion,	Assertion,	Assertion
１,第１投票所,恩恵幼稚園ホール,住吉町3-29,35.44653,139.637498,東
２,第２投票所,生涯学習センターロビー,府中一丁目13-15,35.904074,136.16848,東
３,第３投票所,武生東小学校体育館,国府二丁目9-12,35.908487,136.16851,東
４,第４投票所,武生第一中学校体育館,平出一丁目6-1,35.908059,136.158261,西
５,第５投票所,武生西小学校体育館,中央二丁目2-13,43.058557,141.354646,西
６,第６投票所,なかよし保育園遊戯室,高瀬二丁目4-14,35.898993,136.160825,西
７,第７投票所,南保育園遊戯室,若竹町12-23,35.017555,136.123852,南
８,第８投票所,武生南児童センターﾌﾟﾚｰルーム,武生柳町11-28,35.895558,136.164731,南
９,第９投票所,武生第二中学校体育館,妙法寺町42-15,35.887381,136.160379,南
１０,第１０投票所,神山児童館,広瀬町102-41,35.885736,136.136642,白山
１１,第１１投票所,吉野小学校多目的ホール,本保町17-1,35.926104,136.157239,吉野
１２,第１２投票所,家久保育園遊戯室,家久町94-2-1,35.922552,136.166921,吉野
１３,第１３投票所,武生第三中学校第１ホール,村国二丁目3-56,35.905707,136.175877,国高
１４,第１４投票所,式部ふれあい館軽運動場,国高一丁目13-11,35.912465,136.184953,国高
１５,第１５投票所,国高公民館スポーツルーム,国高二丁目324-13,35.911362,136.189747,国高
１６,第１６投票所,大虫小学校体育館,高森町14-15,35.906208,136.141866,大虫
１７,第１７投票所,エコビレッジ交流センター,湯谷町25-25-2,35.860102,136.086956,坂口
１８,第１８投票所,王子保公民館スポーツルーム,四郎丸町65-2-1,35.867478,136.168845,王子保
１９,第１９投票所,大塩町コミュニティセンター,大塩町20-1-1,35.849277,136.160344,王子保
２０,第２０投票所,北新庄体育館,北町54-25,35.912653,136.211078,北新庄
２１,第２１投票所,北日野児童センター,小野谷町1-13,35.890106,136.190612,北日野
２２,第２２投票所,味真野幼稚園,池泉町9-1,35.890557,136.23317,味真野
２３,第２３投票所,中居町ふれあい会館,中居町19-35,35.885178,136.274677,味真野
２４,第２４投票所,白山小学校体育館,都辺町24-2,35.888058,136.052885,白山
２５,第２５投票所,安養寺こども園遊戯室,安養寺町89-29-1,35.912023,136.077611,白山
２６,第２６投票所,花筐小学校体育館,粟田部町41-12,35.914121,136.240394,粟田部
２７,第２７投票所,生涯学習センター今立分館,定友町10-2-2,35.913871,136.24484,岡本
２８,第２８投票所,八石集落センター,八石町2-42,35.90265,136.278427,岡本
２９,第２９投票所,今立勤労青少年ホーム,西庄境町21-7-1,35.92922,136.248162,南中山
３０,第３０投票所,服間改善センター,藤木町12-39-1,35.934739,136.26383,服間
３１,第３１投票所,横住開発センター,横住町40-6-2,35.93583,136.301127,服間
