#LINK,,,,,,,,,,,,,,,,,,,,
#lang,ja,,,,,,,,,,,,,,,,,,,
#attribution_url,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,,,,,,,,,,,,,,,,,,,
#attribution_name,越前市情報統計課,,,,,,,,,,,,,,,,,,,
#license,http://creativecommons.org/licenses/by/3.0/deed.ja,,,,,,,,,,,,,,,,,,,
#file_name,kishoujoukyou_echizenshi,,,,,,,,,,,,,,,,,,,
#download_from,http://linkdata.org/work/rdf1s2630i,,,,,,,,,,,,,,,,,,,
#property,年号,年,平均気温(℃),最高気温(℃),最低気温(℃),平均湿度(％),最高湿度(％),最低湿度(％),降水量(積算)(㎜),降水日数(日),快晴日数(日),晴日数(日),くもり日数(日),雨日数(日),雪日数(日),みぞれ日数(日),平均気圧(hpa),平均風速(m/s),最大風速(10分平均m/s),最大時風向
#object_type_xsd,string:ja,int,string:ja,string:ja,string:ja,string:ja,string:ja,string:ja,float,string:ja,int,int,int,int,int,string:ja,string:ja,string:ja,string:ja,string:ja
#property_context,	Assertion,	Assertion,	Assertion,	Assertion,	Assertion,	Assertion,	Assertion,	Assertion,	Assertion,	Assertion,	Assertion,	Assertion,	Assertion,	Assertion,	Assertion,	Assertion,	Assertion,	Assertion,	Assertion,	Assertion
1,昭和,60,15.3,38.5,-10.6,72.7,100,21,2756,162,31,115,138,63,18,0,1010.8,2.3,10,SW
2,昭和,61,14.4,36.5,-8.8,71.8,100,20,2126.8,194,21,147,133,47,17,0,1010.6,2.3,12,ＮＮＷ
3,昭和,62,15.5,37.5,-5,70.2,98,13,1927.2,177,23,153,140,33,16,0,1011.4,2.3,13,W
4,昭和,63,14.5,36.5,-7,74.8,100,24,2401.9,179,13,142,135,61,15,0,1010.5,2.2,15,W
5,平成,1,15.1,37,-2,73.3,100,22,2362.3,152,9,153,141,59,3,0,1012.1,2.4,10,N
6,平成,2,16.3,37,-10,74.3,100,23,2223.8,158,11,170,135,46,2,1,1012.7,2.3,7.5,W・SE
7,平成,3,15.4,37.5,-5,75.8,100,36,2259.9,173,20,125,147,56,17,0,1012.5,2.2,15,SE
8,平成,4,14.9,36.5,-3,73.4,99,27,1819.4,164,17,137,155,49,8,0,1013.6,2.3,8,N
9,平成,5,13.7,35,-3.5,75.5,100,28,2167.1,180,18,122,166,52,7,0,1014.6,2.1,9.5,W
10,平成,6,15.6,39,-5.5,71.9,98,22,1550,156,30,158,139,27,11,0,1012.6,2.3,7.2,N
11,平成,7,13.7,38,-5,74.8,100,28,2441,181,23,149,124,55,14,0,1005.8,2.3,8,N
12,平成,8,14.9,38.5,-6,77.4,100,20,1421.6,173,26,165,124,41,10,0,1006.2,2.7,12,N
13,平成,9,15.5,36.5,-9,73.2,100,32,1830.7,179,24,156,135,37,13,0,1004.9,2.8,8.8,N
14,平成,10,16.2,38,-6,73.4,100,35,2155.4,181,15,150,148,50,2,0,1002.6,2.6,9.8,N
15,平成,11,16.3,36.5,-8,83.2,100,26,2050,172,20,144,134,52,15,0,1004,3.4,11,S
16,平成,12,16.1,37,-6.5,84.1,100,40,1231.3,144,10,168,127,47,14,0,1006.4,3.4,10.5,S
17,平成,13,16,37,-5,78,100,33,1298,129,20,148,109,54,17,2,1007,2,12.5,W
18,平成,14,16,37,-4,79,100,37,1708,163,10,149,152,40,14,0,1007,1.9,16.5,N
19,平成,15,15,36,-6.5,78,98,35,1750,190,17,128,151,55,14,0,1008,1.8,15,SW
20,平成,16,16,37,-5.5,78,100,31,1419,157,25,150,136,42,13,0,1007,1.7,7.2,S
21,平成,17,15,37.4,-2.6,78,96.4,8.5,2547,181,17,137,117,63,30,1,1009,1.8,9.3,N
22,平成,18,14.3,37.2,-5.8,79.3,96.5,15.3,2227,179,8,130,149,59,19,0,1009.9,1.8,13.7,SE
23,平成,19,14.8,36.9,-3.5,82.7,99.9,20.8,2216,176,16,126,161,56,6,0,1009.8,1.9,12.1,SW
24,平成,20,14.5,38,-3.7,78.7,98.6,16.6,2063.5,174,4,158,134,52,18,0,1010,1.8,9.2,SW
25,平成,21,14.5,36.5,-2.7,77.7,99,10,1886.5,173,1,160,143,44,17,0,1009.5,1.9,11.4,SW
26,平成,22,14.3,37.3,-4,80.7,99.1,16.3,2584.5,191,7,140,120,80,18,―,1010.2,1.8,11.6,SSW
